Rectangular Tag Number,ROUND Silver ORS Tag Number,Duplicated on ORS steward info sheet 10/13/2022,Currently On-Site ,ORS Location,Borough,Waterbody,Coordinates ,Site ID,LCP Permit Status,Last Rapid Visual Assessment Conducted,Last Monitoring Date,Active cage ,1. Broodstock Source,1. Spat Set Date,1. Distribution Date (Installation),2. Broodstock Source,2. Spat Set Date,2. Distribution Date (Installation),3. Broodstock Source,3. Spat Set Date,3. Distribution Date (installation),4. Broodstock Source,4. Spat Set Date,4. Distribution Date (installation),2021,Jan - Monitoring,Jan- RVA,Feb - Monitoring,Feb- RVA,March - Monitoring,Feb - RVA,April,April- RVA,May,May- RVA,June,June- RVA,July,July- RVA,August,Aug- RVA,September,Sept- RVA,October,Oct- RVA,November,Nov- RVA,December,Dec- RVA,2022,Jan - Monitoring,Jan- RVA,Feb - Monitoring,Feb- RVA,March - Monitoring,Mar - RVA,April,April- RVA,May,May- RVA,June,June- RVA,July,July- RVA,August,Aug- RVA,September,Sept- RVA,October,Oct- RVA,November,Nov- RVA,December,Dec- RVA,2023,Jan - Monitoring,Jan- RVA,Feb - Monitoring,Feb- RVA,March - Monitoring,Mar - RVA,April,April- RVA,May,May- RVA,June,June- RVA,July,July- RVA,August,Aug- RVA,September,Sept- RVA,October,Oct- RVA,November,Nov- RVA,December,Dec- RVA
,-,,NO,Bobby Wagner Walk,Manhattan,Harlem River,"40.799913, -73.928922",,Active Site,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,-,,NO,"Brooklyn Barge, Greenpoint Brooklyn",Brooklyn,East River,"40.729146, -73.961290",,Inactive Site,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,46,Y,YES,Brooklyn Bridge Park,Brooklyn,East River,"40.694747, -74.000520",,Active Site,7/19/2023,12/10/2022,,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,5/29/2022,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,12/10/2022,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,46,Y,YES,Brooklyn Bridge Park,Brooklyn,East River,"40.694747, -74.000520",,Active Site,7/19/2023,12/10/2022,,EB,3/10/2017,8/14/2018,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,5/29/2022,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,12/10/2022,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,136,Y,NO,Brooklyn Bridge Park,Brooklyn,East River,"40.694747, -74.000520",,Active Site,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,180,Y,NO,Brooklyn Bridge Park,Brooklyn,East River,"40.694747, -74.000520",,Active Site,,,,MB,3/10/2017,11/20/2018,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,111,Y,NO,"Brooklyn Navy Yard, Rowing Dock",Brooklyn,East River,"40.705799, -73.970362",,Active Site,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,141,Y,NO,"Brooklyn Navy Yard, Rowing Dock",Brooklyn,East River,"40.705799, -73.970362",,Active Site,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,85,Y,NO,Bush Terminals Park,Brooklyn,Bay ridge Flats,"40.654248, -74.020323",,Working to Reactive,,,,MB,7/15/2015,4/9/2019,CCE,7/3/2020,11/17/20,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,86,Y,NO,Bush Terminals Park,Brooklyn,Bay ridge Flats,"40.654248, -74.020323",,Working to Reactive,,,,MB,7/15/2015,4/9/2019,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
